,user_id,title,weeks_since_first_transaction,mastery,diligence,num_questions,percentage_correct,num_review,num_view,ratio_window_visible,cluster
0,387604,Deutsch,0,0.0,0.0,0.0,,0.0,,,2
1,387604,Deutsch,1,0.0,0.0,0.0,,0.0,,,2
2,387604,Deutsch,2,0.0,0.0,0.0,,0.0,1.0,0.9090909090909091,2
3,387604,Deutsch,3,0.0,0.0,0.0,,0.0,,0.9,2
4,387604,Deutsch,4,0.0,0.0,1.0,0.0,0.0,15.0,0.6451612903225806,2
5,387604,Deutsch,5,0.0,0.0,0.0,,0.0,3.0,0.21428571428571427,2
6,387604,Deutsch,6,0.0,0.0,0.0,,0.0,,0.08695652173913043,2
7,387643,Deutsch,0,0.0,244.0,5.0,80.0,0.0,10.0,,2
8,387643,Deutsch,1,0.0,244.0,0.0,,0.0,,,2
9,387643,Deutsch,2,0.3472222222222222,354.0,6.0,91.66666666666667,5.0,23.0,0.5,2
10,387643,Deutsch,3,2.2569444444444446,1034.0,20.0,75.0,0.0,26.0,0.7073170731707317,2
11,387643,Deutsch,4,7.2014181560216315,2364.0,44.0,89.77272727272727,44.0,44.0,0.8461538461538461,2
12,387643,Deutsch,5,7.2014181560216315,2364.0,0.0,,0.0,56.0,0.5,2
13,387643,Deutsch,6,7.4618348226883,2434.0,9.0,55.55555555555556,0.0,16.0,0.3333333333333333,2
14,387644,Deutsch,0,6.523639713534656,672.0,30.0,78.33333333333333,12.0,34.0,0.7692307692307693,1
15,387644,Deutsch,1,6.523639713534656,672.0,0.0,,0.0,1.0,0.42857142857142855,1
16,387644,Deutsch,2,6.523639713534656,672.0,0.0,,0.0,,,1
17,387644,Deutsch,3,6.523639713534656,672.0,0.0,,0.0,,0.6666666666666666,1
18,387644,Deutsch,4,6.523639713534656,672.0,0.0,,0.0,,0.6666666666666666,1
19,387644,Deutsch,5,6.523639713534656,672.0,0.0,,0.0,,0.5,1
20,387644,Deutsch,6,6.523639713534656,672.0,0.0,,0.0,3.0,0.5,1
21,387832,Deutsch,0,4.009328112225847,3528.0,121.0,66.11570247933884,21.0,126.0,0.1,1
22,387832,Deutsch,1,3.8226276454508272,3528.0,0.0,,0.0,,,1
23,387832,Deutsch,2,5.905960978784162,3678.0,5.0,90.0,2.0,5.0,,1
24,387832,Deutsch,3,5.905960978784162,3678.0,0.0,,0.0,8.0,,1
25,387832,Deutsch,4,5.905960978784162,3678.0,0.0,,0.0,,0.5,1
26,387832,Deutsch,5,5.905960978784162,3678.0,0.0,,0.0,,0.7692307692307693,1
27,387832,Deutsch,6,5.905960978784162,3678.0,0.0,,0.0,1.0,,1
28,387877,Deutsch,0,0.0,0.0,0.0,,0.0,10.0,0.5,2
29,387877,Deutsch,1,0.0,0.0,0.0,,0.0,3.0,0.36363636363636365,2
30,387877,Deutsch,2,2.5,32.0,4.0,50.0,2.0,4.0,0.5,2
31,387877,Deutsch,3,2.5,32.0,0.0,,0.0,,0.9583333333333334,2
32,387877,Deutsch,4,2.5,32.0,0.0,,0.0,,0.43478260869565216,2
33,387877,Deutsch,5,2.5,32.0,0.0,,0.0,,0.6666666666666666,2
34,387877,Deutsch,6,2.5,32.0,0.0,,0.0,,0.5625,2
35,388026,Deutsch,0,0.0,664.0,1.0,100.0,10.0,,,2
36,388026,Deutsch,1,5.993055555555555,1026.0,3.0,50.0,4.0,7.0,0.75,2
37,388026,Deutsch,2,5.993055555555555,1166.0,2.0,75.0,0.0,9.0,,2
38,388026,Deutsch,3,12.045446192248956,1846.0,21.0,85.71428571428571,30.0,36.0,0.9285714285714286,2
39,388026,Deutsch,4,15.066279525582292,2236.0,12.0,75.0,2.0,17.0,0.35714285714285715,2
40,388026,Deutsch,5,15.066279525582292,2236.0,4.0,75.0,4.0,4.0,,2
41,388026,Deutsch,6,15.735408430627299,2386.0,0.0,,0.0,1.0,,2
42,388047,Deutsch,0,6.144097222222222,160.0,10.0,50.0,2.0,28.0,0.9375,2
43,388047,Deutsch,1,7.175347222222221,658.0,28.0,69.64285714285714,1.0,42.0,0.9607843137254902,2
44,388047,Deutsch,2,12.738890945989269,1150.0,27.0,70.37037037037037,19.0,33.0,0.875,2
